Mg25_ppm,P31_ppm,Sr88_ppm,Y89_ppm,Ba137_ppm,Pb208_ppm,U238_ppm,dft,Elapsed_Time,Age,mg_uncert_up,mg_uncert_low
408.724425,66.42498899,15.81336301,0.222218718,2.559791895,0.438130259,0.101588248,132.2144042,7537.656094,68383.49478,416.824425,400.624425
417.0700515,62.66916005,15.30742173,0.179109135,3.04212787,0.064675231,0.025,132.2614128,7561.160424,68384.49513,425.1700515,408.9700515
433.2549837,67.41675202,15.64667529,0.143649872,2.711559762,0.04,0.025,132.3084214,7584.664688,68385.49503,441.3549837,425.1549837
442.2645441,73.87593077,15.36670569,0.147383538,4.131031085,0.04,0.050353892,132.3554301,7608.169061,68386.49445,450.3645441,434.1645441
428.4728373,67.01353185,14.84257377,0.195466413,3.093752548,0.04,0.049629799,132.4024388,7631.673406,68387.49343,436.5728373,420.3728373
432.5211899,73.18769289,14.91619268,0.25759558,2.945905151,0.048385137,0.025,132.4494474,7655.177697,68388.49192,440.6211899,424.4211899
449.8901947,66.57136411,16.15620841,0.387338043,3.587055325,0.077167775,0.033906529,132.4971793,7679.043636,68389.50529,457.9901947,441.7901947
458.7079146,78.93267968,16.66541475,0.485283644,3.569452685,0.219228139,0.025,132.5441879,7702.547969,68390.50288,466.8079146,450.6079146
459.1376209,84.15193395,20.33327514,0.598518149,4.23269634,0.469888608,0.205455492,132.5911965,7726.052273,68391.49996,467.2376209,451.0376209
435.2397946,79.83124537,15.34846682,0.306877277,3.175878867,0.04,0.162297761,132.6382052,7749.556594,68392.4966,443.3397946,427.1397946
449.2880557,93.10682508,15.46995092,0.18561135,2.954575314,0.04,0.025,132.6852139,7773.060939,68393.49276,457.3880557,441.1880557
511.2814034,77.43459396,14.38174155,0.129256657,2.872200617,1.346424027,0.215621213,132.7329458,7796.926879,68394.50378,519.3814034,503.1814034
498.2627997,74.86209564,14.27581134,0.453704095,3.230856685,0.04,0.034198011,132.7799544,7820.431187,68395.499,506.3627997,490.1627997
467.3948992,78.90916202,13.65015323,0.650825878,2.665410914,0.115562995,0.076961691,132.826963,7843.935515,68396.49375,475.4948992,459.2948992
473.6077502,75.30842194,13.5791074,0.305308827,2.90870885,0.176556213,0.025,132.8746949,7867.801455,68397.50333,481.7077502,465.5077502
486.3271417,49.06638123,14.40193316,0.205326429,2.606977295,0.691137114,0.030015421,132.9217035,7891.30575,68398.49714,494.4271417,478.2271417
462.6342697,31.81619999,15.42896618,0.080441106,2.676854979,0.04,0.025,132.9687122,7914.810091,68399.49048,470.7342697,454.5342697
494.7650491,42.28905539,14.29530108,0.070689702,2.641195148,0.04,0.025,133.0164441,7938.676061,68400.49863,502.8650491,486.6650491
532.6131365,55.21030531,13.74306561,0.124395344,2.429202202,0.04,0.106490842,133.0641759,7962.541939,68401.50628,540.7131365,524.5131365
491.6168144,51.52901356,15.19122429,0.100377898,2.812242237,0.06235022,0.063845612,133.1111846,7986.046313,68402.4982,499.7168144,483.5168144
455.2153422,64.29912663,16.40546179,0.263326487,3.353313619,0.050989736,0.068877449,133.1581933,8009.550636,68403.48967,463.3153422,447.1153422
373.380432,49.4427423,19.34030645,0.077687024,3.453943772,0.04,0.111088592,133.205925,8033.416515,68404.49588,381.480432,365.280432
360.109028,58.64800419,18.02738979,0.087125978,3.238802465,0.104221694,0.037353473,133.253657,8057.282485,68405.50162,368.209028,352.009028
373.0058148,66.18193759,15.48307079,0.148793464,3.07890483,0.115115169,0.025,133.3013888,8081.148424,68406.50688,381.1058148,364.9058148
395.3788218,96.76429694,15.48765099,0.219386402,3.12453209,0.061984504,0.054378324,133.3491206,8105.014303,68407.51163,403.4788218,387.2788218
361.7001269,73.36782009,18.70536755,0.100437949,3.525859423,0.087525592,0.071366664,133.3961293,8128.518656,68408.5007,369.8001269,353.6001269
373.1342442,68.55030064,16.78349158,0.096161996,3.254970313,0.295349093,0.057756163,133.443138,8152.023,68409.4893,381.2342442,365.0342442
356.6816123,65.94488089,15.20725979,0.098719067,3.040135652,0.04,0.070554084,133.4908698,8175.888909,68410.49261,364.7816123,348.5816123
437.8117313,96.21264022,15.78048994,0.153614402,3.110781049,0.04,0.078689972,133.5386017,8199.754848,68411.49545,445.9117313,429.7117313
383.323905,69.25814002,16.68763448,0.110188925,3.139280709,0.04,0.035984618,133.5863336,8223.620788,68412.4978,391.423905,375.223905
449.4076966,46.17550451,17.09430497,0.037403212,3.437042613,0.04,0.040716295,133.6340654,8247.486697,68413.49965,457.5076966,441.3076966
508.9992129,33.64587609,17.30349375,0.019196529,3.506412008,0.305290634,0.047417284,133.6817973,8271.352636,68414.50103,517.0992129,500.8992129
515.9936367,29.01471481,16.4471028,0.014983608,2.795117797,0.04,0.029361938,133.7295292,8295.218576,68415.5019,524.0936367,507.8936367
422.2375347,31.35282121,16.91448512,0.007089104,2.930225165,0.04,0.046651967,133.777261,8319.084485,68416.50229,430.3375347,414.1375347
379.8960552,30.89739519,17.59525139,0.005,2.850613463,0.04,0.052079337,133.8249928,8342.950424,68417.50219,387.9960552,371.7960552
384.1841063,29.32906184,19.27325364,0.005,3.320555646,0.099293642,0.046395462,133.8727247,8366.816364,68418.50161,392.2841063,376.0841063
452.6457699,42.79132191,21.05304735,0.026336182,3.794680094,0.503417917,0.295988815,133.9204533,7881.497,68419.50045,460.7457699,444.5457699
505.8468091,101.1282157,26.25047537,0.073380534,3.843295363,1.089718034,0.269278516,133.9682668,13.0573889,68420.50059,513.9468091,497.7468091
453.4746429,105.3098234,18.51458993,0.027475661,3.621781881,0.679382888,0.382331588,134.016478,37.16300001,68421.50855,461.5746429,445.3746429
450.9689184,127.2395526,17.36523671,0.039073252,3.399790123,0.586097272,0.751637894,134.0640196,60.93380002,68422.50202,459.0689184,442.8689184
443.3668685,118.5193533,15.72107617,0.039268914,3.362613405,0.24316478,0.347111793,134.1115612,84.70461112,68423.495,451.4668685,435.2668685
452.1595905,109.3906059,16.97033773,0.037734602,3.714614779,0.514668182,0.115279695,134.1597724,108.8101945,68424.50146,460.2595905,444.0595905
452.6703276,103.4964287,16.72703049,0.040473702,3.761514194,0.538431369,0.388119612,134.2079836,132.9158056,68425.50742,460.7703276,444.5703276
471.8014674,106.9516181,14.2448997,0.087794318,3.396964194,0.335953384,0.121707425,134.2555252,156.6866,68426.49893,479.9014674,463.7014674
488.5644585,120.5349274,14.05149645,0.140806543,3.549380429,0.585519616,0.10298313,134.3030668,180.4573889,68427.48994,496.6644585,480.4644585
486.7058142,112.032513,18.98605813,0.119293005,3.202138625,0.056380086,0.164404144,134.351278,204.563,68428.49441,494.8058142,478.6058142
461.5167591,120.5761952,15.79315958,0.103376824,3.483502671,0.078197757,0.267189414,134.3994892,228.6686111,68429.49838,469.6167591,453.4167591
442.4832655,120.2365623,15.20304736,0.095052861,3.753438655,0.135373075,0.152589778,134.4477004,252.7741945,68430.50183,450.5832655,434.3832655
418.1698955,111.268317,21.39095666,0.063420711,3.666128074,0.401387119,0.262040074,134.4959116,276.8798056,68431.50479,426.2698955,410.0698955
474.6207534,97.88464308,19.01404855,0.0371789,4.227186252,0.603938174,0.297682829,134.5441228,300.9853889,68432.50725,482.7207534,466.5207534
365.5905306,88.21044158,23.39585305,0.028815563,4.798188054,0.04,0.3925683,134.592334,325.091,68433.50919,373.6905306,357.4905306
364.877558,91.93744886,24.35396789,0.018331024,4.782597963,3.977956294,0.326183901,134.6405452,349.1966111,68434.51063,372.977558,356.777558
376.6295057,86.45503246,22.91868534,0.032253112,4.229851722,1.333140839,0.132139256,134.6887564,373.3021944,68435.51157,384.7295057,368.5295057
435.2570165,95.81730211,20.58407885,0.058245078,3.480780147,0.304973109,0.202362977,134.7369676,397.4078056,68436.51199,443.3570165,427.1570165
417.3534342,99.08818533,25.75648687,0.11638213,7.483191934,0.621284549,0.283126305,134.7851788,421.5133889,68437.51192,425.4534342,409.2534342
404.8461799,126.0653005,18.38812515,0.13294299,5.850751937,0.824800924,0.176669062,134.83339,445.619,68438.51134,412.9461799,396.7461799
432.5854445,133.578683,19.7047192,0.115476165,3.247061553,0.176978922,0.172453028,134.8816012,469.7246111,68439.51024,440.6854445,424.4854445
502.9756216,114.0015671,17.66826223,0.183881156,3.394201064,0.237041081,0.382117231,134.9298124,493.8301945,68440.50863,511.0756216,494.8756216
454.54684,110.7890072,19.40426173,0.23451301,3.570194925,0.853961354,0.119643549,134.9780236,517.9358056,68441.50653,462.64684,446.44684
451.8667705,117.9297818,14.16761187,0.22222571,2.981948504,1.588227239,0.179711814,135.0262348,542.0413889,68442.50392,459.9667705,443.7667705
448.7486439,116.4693464,17.33691917,0.154227442,3.591055252,0.484652107,0.179959173,135.074446,566.147,68443.50079,456.8486439,440.6486439
405.8684835,88.29445867,20.21254107,0.048489904,4.720503025,0.28382891,0.152102803,135.1226572,590.2526111,68444.49716,413.9684835,397.7684835
469.1718844,66.40067683,24.90771372,0.026099779,4.893292965,0.269981879,0.147491947,135.1708684,614.3581945,68445.49302,477.2718844,461.0718844
487.7213767,79.72363666,27.27286091,0.076101226,5.21944683,0.492152752,0.164273253,135.2197489,638.7984325,68446.50218,495.8213767,479.6213767
464.4360551,97.18738916,21.50319603,0.047171133,3.53788779,1.166541553,0.24429508,135.2686296,663.2388056,68447.51081,472.5360551,456.3360551
484.0402798,99.01461122,23.27164575,0.061697386,3.902734044,0.303181385,0.27287183,135.3168408,687.3443889,68448.50512,492.1402798,475.9402798
476.4271254,74.92925404,20.27190312,0.02622213,4.264503142,0.317636651,0.146992861,135.365052,711.45,68449.49891,484.5271254,468.3271254
494.6769844,77.13019419,20.16174887,0.029984709,3.94783585,0.137297997,0.117249202,135.4132632,735.5556111,68450.49221,502.7769844,486.5769844
506.338596,80.66276639,31.64973905,0.037433204,3.465057154,0.268206034,0.264597298,135.462144,759.996,68451.49877,514.438596,498.238596
494.6573156,85.37467702,21.66747368,0.062965499,2.955499928,0.079412223,0.126629282,135.5110248,784.4363889,68452.5048,502.7573156,486.5573156
491.842487,93.16105982,18.27769098,0.054210351,3.576490222,0.235130626,0.112328159,135.559236,808.542,68453.49654,499.942487,483.742487
514.3724921,90.91492449,23.00551761,0.045371582,4.402126624,0.157036859,0.127516174,135.6081168,832.9824054,68454.50152,522.4724921,506.2724921
506.2840527,92.0247806,14.18230043,0.060473639,3.310701185,0.360871839,0.052285299,135.6569976,857.4228056,68455.50599,514.3840527,498.1840527
509.2647152,81.11004199,27.77958943,0.056444667,4.120704754,0.345237742,0.298248106,135.7052088,881.5283889,68456.49616,517.3647152,501.1647152
578.8912026,75.98682406,19.15894509,0.034103866,3.553151238,0.490169465,0.341866845,135.7540896,905.9688108,68457.49958,586.9912026,570.7912026
599.2540363,87.00917049,19.67614937,0.055408045,3.516341716,1.022836261,0.164496457,135.8029704,930.4091945,68458.50246,607.3540363,591.1540363
519.4197398,86.29768204,19.02835228,0.054934583,3.118558332,0.122706958,0.228469987,135.8518512,954.8495946,68459.50481,527.5197398,511.3197398
472.0328249,81.18258889,21.40111525,0.055405759,3.652341908,0.192200267,0.067235008,135.900732,979.29,68460.50664,480.1328249,463.9328249
501.8703845,86.35053068,30.10342664,0.061762295,4.408807223,0.237974747,0.21287132,135.9489432,1003.395611,68461.49422,509.9703845,493.7703845
532.4323001,71.40441166,24.12946771,0.087761433,3.126464088,0.204779649,0.137795458,135.997824,1027.836,68462.49498,540.5323001,524.3323001
536.8235771,89.44343971,14.75334311,0.063164226,3.100203479,0.166629754,0.093620891,136.0467048,1052.276389,68463.49522,544.9235771,528.7235771
524.6862086,95.96342153,20.09324029,0.066222223,2.654964344,0.102356517,0.10440538,136.0955856,1076.716811,68464.49494,532.7862086,516.5862086
520.6304343,83.99167568,18.14918406,0.050563154,2.925771097,0.679813213,0.113395481,136.1444664,1101.157194,68465.49411,528.7304343,512.5304343
507.3233219,81.55688239,16.82382024,0.040846085,2.793538836,0.057604261,0.089919465,136.1933472,1125.597595,68466.49276,515.4233219,499.2233219
509.5348776,84.36697199,14.04974809,0.070953393,2.707924667,0.04,0.174267067,136.2428976,1150.372811,68467.50453,517.6348776,501.4348776
513.0790844,100.715967,22.67352103,0.052539705,3.441592517,0.082766991,0.233643734,136.2917784,1174.813194,68468.5021,521.1790844,504.9790844
522.6544679,103.051013,16.85433096,0.086445974,4.558428218,0.531128159,0.16205889,136.3406592,1199.253595,68469.49914,530.7544679,514.5544679
538.4490221,99.67090144,12.50078221,0.0866381,2.624743759,0.119115542,0.045735976,136.38954,1223.694,68470.49566,546.5490221,530.3490221
569.9950685,104.7185526,23.46063891,0.193769796,4.85699154,0.719638204,0.080557938,136.4384208,1248.134405,68471.49163,578.0950685,561.8950685
513.6312877,94.14198777,18.37950947,0.085465759,3.83771612,0.04,0.176253399,136.4879709,1272.909459,68472.50069,521.7312877,505.5312877
556.5473819,85.51180089,20.37747708,0.059276613,4.022570736,0.196974415,0.108834957,136.5375212,1297.684595,68473.50921,564.6473819,548.4473819
535.1034978,77.21327374,19.47762507,0.068830795,3.119581323,0.221814029,0.106030364,136.586402,1322.125,68474.50356,543.2034978,527.0034978
555.1533637,79.57802907,15.16774025,0.067876923,3.148016542,0.105988413,0.060292749,136.6352828,1346.565405,68475.49738,563.2533637,547.0533637
521.1848525,79.20555928,20.13801297,0.070123238,4.25863962,0.362645459,0.073135581,136.6848332,1371.340595,68476.50426,529.2848525,513.0848525
515.0372502,85.56640799,30.06268843,0.157444066,8.699059746,1.645390293,0.21020218,136.7343836,1396.115811,68477.51059,523.1372502,506.9372502
532.387285,81.26851775,20.34623029,0.091969815,2.831152753,0.04,0.092717539,136.7832644,1420.556194,68478.50279,540.487285,524.287285
502.6960769,81.65819221,22.07283227,0.089520437,4.306283147,0.237745067,0.124713026,136.8321452,1444.996595,68479.49445,510.7960769,494.5960769
478.2296111,76.7993466,18.85893315,0.088039946,3.126661074,0.058050231,0.243959747,136.8816956,1469.771811,68480.49914,486.3296111,470.1296111
471.3799957,79.94100647,16.55181256,0.093677243,4.611865075,0.297828875,0.217607232,136.931246,1494.547,68481.50329,479.4799957,463.2799957
432.2551149,82.60324307,18.31691088,0.10011868,3.829283949,1.001952296,0.151271544,136.9807964,1519.322189,68482.50687,440.3551149,424.1551149
437.0823058,87.92203864,18.85041549,0.107749355,2.745796473,0.509710612,0.09440218,137.0303468,1544.097405,68483.5099,445.1823058,428.9823058
425.5577467,90.65651459,21.90607212,0.107953919,3.271846007,0.089035119,0.073623738,137.0798972,1568.872595,68484.51239,433.6577467,417.4577467
436.5450586,93.83077007,21.03347503,0.105576053,3.895528523,0.04,0.045561513,137.128778,1593.313,68485.50079,444.6450586,428.4450586
443.1673796,98.00765386,18.54133533,0.107050424,3.186652314,0.04,0.129320372,137.1776588,1617.753405,68486.48863,451.2673796,435.0673796
468.2963395,87.91439559,15.42934848,0.128515012,2.983043912,0.076553745,0.141685278,137.2272092,1642.528595,68487.48948,476.3963395,460.1963395
455.1976049,95.49966905,14.83399431,0.13739894,3.179197286,0.04,0.048561793,137.2767596,1667.303811,68488.48974,463.2976049,447.0976049
431.5498556,109.8503318,15.37870301,0.11362293,3.438058189,0.257223774,0.079664682,137.32631,1692.079,68489.48948,439.6498556,423.4498556
433.2442068,99.88744665,15.37631667,0.111610766,3.19995938,0.069503108,0.076369471,137.3758604,1716.854189,68490.48865,441.3442068,425.1442068
440.1244537,85.74596286,18.56916521,0.082759585,3.113377915,0.1552379,0.085891456,137.4260804,1741.964211,68491.50075,448.2244537,432.0244537
437.9025675,85.91277995,17.92505951,0.115122633,4.586191174,0.336379165,0.093747905,137.4763004,1767.074189,68492.51226,446.0025675,429.8025675
439.4495273,77.69905117,20.96100772,0.086939346,4.768670049,0.04,0.07488519,137.5258508,1791.849405,68493.50975,447.5495273,431.3495273
404.8786963,77.7267985,26.12631763,0.040130398,5.00723264,0.277170755,0.073214555,137.5754012,1816.624595,68494.50668,412.9786963,396.7786963
379.9703858,64.39823555,25.89641262,0.041031503,4.608201628,0.04,0.061891302,137.6249516,1841.399811,68495.50304,388.0703858,371.8703858
383.4699393,67.07943408,22.93418614,0.037791066,3.985796998,0.43556876,0.112155078,137.674502,1866.175,68496.49885,391.5699393,375.3699393
399.848732,77.11449369,20.20451946,0.117080681,4.194084377,0.132205414,0.079065097,137.7240524,1890.950189,68497.4941,407.948732,391.748732
429.6118446,82.93472632,15.76679687,0.093849045,3.093262034,0.04,0.069779415,137.7742721,1916.060053,68498.50223,437.7118446,421.5118446
452.8470255,97.56409931,16.38559231,0.153894628,3.4928879,0.04,0.046042594,137.824492,1941.17,68499.50978,460.9470255,444.7470255
476.2536977,103.39118,16.91959029,0.119058898,2.668695009,0.04,0.078639076,137.8740424,1965.945189,68500.50332,484.3536977,468.1536977
487.5703871,112.0651533,14.24717198,0.146992247,3.288010903,0.04,0.136086321,137.9235928,1990.720405,68501.49632,495.6703871,479.4703871
494.8911216,116.5512359,13.67761974,0.131131708,3.661190759,0.157631606,0.063486074,137.9738128,2015.830395,68502.50215,502.9911216,486.7911216
491.3302641,121.3414879,16.16987646,0.105330154,3.894146159,0.627531442,0.225530067,138.0240328,2040.940405,68503.50741,499.4302641,483.2302641
514.4418722,126.1543962,25.60616458,0.137341745,6.148556481,1.303828263,0.267477516,138.0735832,2065.715595,68504.49872,522.5418722,506.3418722
449.9152827,128.1546659,13.63227227,0.149850872,2.867568734,0.133412613,0.068917562,138.1238032,2090.825605,68505.50284,458.0152827,441.8152827
514.8690396,101.5840283,17.44418984,0.130017348,4.385242751,0.53120981,0.119459329,138.1740232,2115.935595,68506.50638,522.9690396,506.7690396
523.995934,77.94671178,16.67799327,0.041815957,3.088281838,0.173519845,0.094369763,138.2235736,2140.710811,68507.49596,532.095934,515.895934
455.1406533,70.56724089,19.31287271,0.022095055,4.39464051,0.181516084,0.188373251,138.2737936,2165.820789,68508.49836,463.2406533,447.0406533
424.6648377,76.21859122,19.47003791,0.01667015,4.574997857,0.04,0.104771038,138.3240136,2190.930811,68509.50017,432.7648377,416.5648377
430.1635831,68.5541695,18.94064284,0.01534494,4.156686094,0.076803152,0.070695968,138.3742336,2216.040789,68510.5014,438.2635831,422.0635831
340.2014876,58.92162724,20.2406268,0.005136262,4.065875235,0.537691616,0.08460533,138.4244536,2241.150811,68511.50205,348.3014876,332.1014876
373.488892,66.44330334,19.52857421,0.033698831,4.235615472,0.230304876,0.124931581,138.4746736,2266.260789,68512.50212,381.588892,365.388892
422.6416603,64.32527001,24.086134,0.059122299,4.494618781,0.19260438,0.098029259,138.5248936,2291.370811,68513.50162,430.7416603,414.5416603
469.4576772,68.62690327,16.71573758,0.06061103,3.994754985,0.247427577,0.141039492,138.5751136,2316.480789,68514.50053,477.5576772,461.3576772
488.4795311,68.97484667,14.98240702,0.115272182,3.191020991,0.544507801,0.201370738,138.6253336,2341.590811,68515.49886,496.5795311,480.3795311
449.2873141,76.30434196,13.95730665,0.11828762,3.466562398,0.266736998,0.07050239,138.6755536,2366.700789,68516.49659,457.3873141,441.1873141
462.9073588,85.14868931,15.49111281,0.136202462,3.403656193,0.47548774,0.065318763,138.7264432,2392.145605,68517.50706,471.0073588,454.8073588
467.6414619,93.01044302,13.70954337,0.093561176,3.293920902,0.04,0.05101635,138.7766632,2417.255595,68518.50364,475.7414619,459.5414619
454.3028113,111.1328165,15.56383572,0.143591515,3.547066577,0.232990179,0.080602909,138.8268832,2442.365605,68519.49962,462.4028113,446.2028113
485.1565772,107.3017385,12.96753056,0.174474629,3.008338556,0.338607325,0.071916777,138.8777728,2467.810395,68520.50831,493.2565772,477.0565772
564.3675364,108.8480906,15.8246198,0.193087084,3.547495432,0.334694988,0.137229385,138.9279928,2492.920405,68521.50312,572.4675364,556.2675364
495.5125263,111.0961389,26.16937849,0.19389963,4.307774916,0.312864768,0.393347015,138.9782128,2518.030395,68522.49735,503.6125263,487.4125263
441.0038064,117.1492849,19.26861675,0.140041891,4.655618493,0.483621099,0.268462622,139.0291023,2543.475158,68523.50424,449.1038064,432.9038064
454.1673803,94.66375867,18.17920914,0.063967728,3.760480049,0.0832463,0.130889804,139.079322,2568.585,68524.49729,462.2673803,446.0673803
496.8793895,90.28094753,23.06785564,0.065854977,4.429493159,0.333452524,0.335709571,139.129542,2593.695,68525.48974,504.9793895,488.7793895
504.5462568,87.19156677,20.52194845,0.070961037,3.790095539,0.445967299,0.389086162,139.1804316,2619.139789,68526.49486,512.6462568,496.4462568
498.7581427,73.19469782,19.77028731,0.040536031,3.734522051,0.192659493,0.159069731,139.2313212,2644.584605,68527.49935,506.8581427,490.6581427
535.6723604,78.31648114,21.90546519,0.095359784,4.417464426,3.375004981,0.212813761,139.2822108,2670.029395,68528.50326,543.7723604,527.5723604
539.0520852,90.98050802,21.62496951,0.097491403,3.26739143,2.963227128,0.230485372,139.3331004,2695.474211,68529.50655,547.1520852,530.9520852
500.6346732,76.17462574,17.23464648,0.076944141,4.116548209,1.40349508,0.363556826,139.38399,2720.919,68530.50924,508.7346732,492.5346732
416.488167,85.31140886,18.92165372,0.126515918,3.999553585,0.263564477,0.123296984,139.4348796,2746.363789,68531.51134,424.588167,408.388167
391.6280845,103.970335,20.3068636,0.1773024,4.196813767,0.399802512,0.133618037,139.4850996,2771.473811,68532.49965,399.7280845,383.5280845
398.6908447,109.4026952,17.82686346,0.158278511,4.018291443,0.04,0.082928835,139.5353196,2796.583789,68533.48736,406.7908447,390.5908447
411.5088576,111.3890899,19.99536663,0.160984853,3.914331108,0.12782958,0.072919166,139.5862092,2822.028605,68534.48764,419.6088576,403.4088576
421.1921698,102.7499203,17.86362559,0.120273761,3.752242636,0.686470287,0.292222731,139.6370988,2847.473395,68535.48734,429.2921698,413.0921698
378.8656824,91.69544984,19.40274493,0.077547844,4.842313436,0.313752278,0.124016032,139.688658,2873.253,68536.49955,386.9656824,370.7656824
356.0159926,91.54588932,26.50514736,0.068638659,4.773974387,0.383501778,0.197128658,139.7402172,2899.032605,68537.51115,364.1159926,347.9159926
308.414606,82.72840904,24.10863778,0.052914418,4.490430344,0.505403977,0.110276902,139.7911068,2924.477395,68538.50899,316.514606,300.314606
305.314114,73.79896171,22.3558236,0.046370474,4.966057439,1.622519575,0.108681213,139.8419964,2949.922211,68539.50625,313.414114,297.214114
337.7158041,62.47640808,22.46493249,0.022395575,4.410299134,3.977956294,0.140870864,139.892886,2975.367,68540.50287,345.8158041,329.6158041
382.7978082,68.22068772,23.66975479,0.036067502,5.611125037,0.04,0.107354445,139.9437756,3000.811789,68541.49888,390.8978082,374.6978082
400.4044537,65.23600288,23.80441143,0.035772358,5.544095809,1.487582584,0.075610289,139.9946652,3026.256605,68542.49432,408.5044537,392.3044537
393.6005825,65.78905366,24.81730121,0.005,7.20417817,0.066848983,0.025,140.0462244,3052.036205,68543.50221,401.7005825,385.5005825
